id	drug	
0	Ibrutinib	
1	Praziquantel	
2	L203	
3	Clopidogrel	
4	Melphalan	
5	Methylmethcathinone	
6	Parthenolide	
7	Rapamycin	
8	Prednisone	
9	Fluorouracil	
10	Cytoxan	
11	Thalidomide	
12	Bleomicin	
13	Dovitinib	
14	10-Hydroxycamptothecin	
15	ABT-737	
16	Mitotane	
17	Cisplatin	
18	Cetuximab	
19	FAK inhibitor	
20	Arabinosylcytosine	
21	Nintedanib	
22	N-methyl-N-nitro-N-nitrosoguanidine	
23	Bleomycin	
24	Platinum	
25	Temozolomide	
26	Interferon-gamma	
27	CI1033	
28	Taxol	
29	Interferon	
30	Silybin	
31	RAWQ01	
32	PLX4720	
33	Dasatinib	
34	Capsaicin	
35	1S-1-acetoxychavicol acetate	
36	Olaparib	
37	Hydrogen Peroxide	
38	Cytarabine	
39	Rituximab	
40	Y15	
41	TRAIL therapy	
42	Lapatinib	
43	5-Fluorouracil	
44	platinum-based doublet chemotherapy	
45	PU-H71	
46	Staurosporine	
47	Carfilzomib	
48	Asparaginase	
49	Epirubicin	
50	Sunitinib	
51	Oxaliplatin	
52	Camptothecin	
53	Tanespimycin	
54	Vorinostat	
55	Paclitaxel	
56	Mitomycin	
57	Ara-C	
58	Leucovorin	
59	Verapamil	
60	Gemcitabine	
61	Chemotherapy	
62	AG1478	
63	Epigallocatechin-3-gallate	
64	Decitabine	
65	oncolytic vaccinia virus	
66	Nilotinib	
67	Pertuzumab	
68	Shikonin	
69	Nutlin	
70	Vincristine
71	Cyclopamine	
72	Gefitinib	
73	Arsenic Trioxide	
74	Valproate	
75	Neratinib	
76	pegIFN/RBV therapy	
77	Erlotinib	
78	Pemetrexed	
79	Interferon-alpha	
80	Afatinib	
81	Trastuzumab	
82	Prednisolone	
83	Celastrol	
84	U0126	
85	Apigenin	
86	Vinblastine	
87	AED therapy	
88	Betulinic Acid	
89	Bortezomib	
90	Tamoxifen	
91	Adriamycin	
92	Curcumin	
93	Etoposide	
94	Mitoxantrone	
95	modified ALLIC BFM 2002 protocol	
96	Canertinib HCl	
97	Saracatinib	
98	Teniposide	
99	Daunorubicin	
100	Paroxetine	
101	Sorafenib	
102	Doxycycline	
103	Epigallocatechin Gallate	
104	PD-0325901	
105	SIOP treatment protocol	
106	Epirubicin hydrochloride	
107	Dexamethasone	
108	Carboplatin	
109	Taxane	
110	Ribavirin	
111	Pirarubicin	
112	Vemurafenib	
113	Carmustine	
114	Doxorubicin	
115	OSI-027	
116	AG014699	
117	Irinotecan	
118	Levetiracetam	
119	ABT-263	
120	Sirolimus	
121	Fulvestrant	
122	Vinorelbine	
123	Mitomycin C	
124	Luteolin	
125	Fludarabine	
126	L-asparaginase	
127	Epothilone B	
128	Methotrexate	
129	Ultraviolet	
130	Tetrahydropalmatine	
131	Trichostatin A	
132	Genistein	
133	Docetaxel	
134	Ixazomib	
135	IR	
136	Crizotinib	
137	Imatinib	
138	Cyclophosphamide	
139	Dacarbazine	

