id	miRNAname	
0	miR-3173	
1	miR-30b*	
2	miR-200a	
3	miR-3164	
4	miR-371	
5	miR-625*	
6	miR-504	
7	miR-668	
8	miR-3131	
9	miR-548b	
10	miR-585	
11	miR-182	
12	miR-3137	
13	miR-517b	
14	miR-125b-5p	
15	miR-770	
16	miR-374a	
17	miR-520f	
18	miR-197	
19	miR-151	
20	miR-127-3p	
21	miR-503-5p	
22	miR-134	
23	miR-602	
24	miR-125a-5p	
25	miR-3679	
26	miR-603	
27	miR-153	
28	miR-199b	
29	miR-516b	
30	miR-590	
31	miRPlus-A1086	
32	miR-152	
33	miR-195-5p	
34	miR-616	
35	miR-129*	
36	miR-592	
37	miR-153-2	
38	miR-451a	
39	miR-1297	
40	miR-765	
41	miR-3934	
42	miR-331	
43	miR-029c	
44	miR-10a	
45	miR-409-3p	
46	miR-129	
47	miR-143	
48	miR-29a*	
49	miR-3163	
50	miR-4455	
51	miR-1273d	
52	miR-506-3p	
53	miR-361	
54	miR-378a	
55	miR-214	
56	miR-1275	
57	miR-760	
58	miR-320a	
59	miR-130a-5p	
60	hs-303-b	
61	miR-1294	
62	miR-483	
63	miR-128b	
64	let-7d-3p	
65	miR-637	
66	miR-125b	
67	miR-374	
68	miR-185*	
69	miR-2964a	
70	miR-132	
71	miR-1229	
72	miR-629*	
73	miR-433-3p	
74	miR-659	
75	miR-27a	
76	miR-194	
77	miR-1267	
78	miR-589	
79	miR-191	
80	miR-026a	
81	miR-192	
82	miR-502	
83	miR-30c	
84	miR-195*	
85	miR-624*	
86	miR-380	
87	miR-93	
88	miR-301a	
89	miR-147b	
90	miR-1257	
91	miR-767	
92	miR-509-5p	
93	miR-545	
94	miR-370-3p	
95	miR-7	
96	miR-193-3p	
97	miR-99a	
98	miR-542-33b	
99	miR-181	
100	miR-126-3p	
101	miR-326	
102	miR-542-32	
103	miR-501-3p	
104	miR-889	
105	miR-629	
106	miR-367-3p	
107	miR-509-3	
108	miR-92-1	
109	miR-650	
110	miR-10b	
111	miR-320b	
112	miR-373*	
113	miR-451	
114	miR-526a	
115	miR-146a-5p	
116	miR-1911	
117	miR-935	
118	miR-4327	
119	miR-645	
120	miR-010a	
121	miR-17-5p	
122	miR-325	
123	let-7b	
124	miR-425-5p	
125	miR-3198	
126	miR-642	
127	miR-145	
128	miR-514	
129	miR-4284	
130	miR-181d	
131	miR-21	
132	miR-363	
133	miR-1228	
134	let-7f	
135	miR-204-5p	
136	miR-627	
137	miR-3144	
138	miR-125-1	
139	miR-92b	
140	miR-203a	
141	miR-410	
142	miR-346	
143	miR-30a-5p	
144	miR-720	
145	miR-93*	
146	miR-1287	
147	miR-34b-3p	
148	miR-148b*	
149	miR-218-5p	
150	miR-29b-1*	
151	miR-33b	
152	miR-370	
153	miR-498	
154	miR-641	
155	miR-505*	
156	miR-431	
157	miR-34	
158	miR-548a2	
159	miR-149	
160	miR-34c-5p	
161	miR-452	
162	miR-520c	
163	miR-320d	
164	miR-199b-5p	
165	miR-3153	
166	miR-630	
167	miR-147	
168	miR-606	
169	miR-181a	
170	miR-374b	
171	miR-4687	
172	miR-708	
173	miR-488-3p	
174	miR-628	
175	miR-3620	
176	miR-1301	
177	miR-923	
178	miR-652-3p	
179	miR-1236	
180	miR-510	
181	miR-376b	
182	miR-877	
183	miR-092	
184	miR-3150b	
185	miR-634	
186	let-7c	
187	miR-106b	
188	let-7	
189	miR-1303	
190	hsa-miRPlus-C1005	
191	miR-1	
192	miR-532	
193	miR-219-5p	
194	miR-2278	
195	miR-1323	
196	miR-98a	
197	miRPlus-G1246-3p	
198	miR-4763	
199	miR-30e	
200	miR-138	
201	miR-335*	
202	miR-708-3p	
203	miR-29a	
204	miR-16-1	
205	let-7i	
206	miR-105	
207	miR-3676	
208	miR-4443	
209	miR-146b-5p	
210	miR-542	
211	miR-29b	
212	miR-4311	
213	miR-3183	
214	miR-374-a	
215	miR-31-5p	
216	miR-663a	
217	miR-1296	
218	miR-367	
219	miR-1265	
220	miR-7-1*	
221	miR-135b	
222	miR-92	
223	miR-3064	
224	miR-581	
225	miR-488	
226	miR-551b	
227	miR-1243	
228	miR-219	
229	miR-549	
230	miR-933	
231	miR-132*	
232	miR-7-3	
233	miR-663b	
234	miR-576	
235	miR-1258	
236	miR-185-5p	
237	miR-9*	
238	miR-181b-5p	
239	miR-703	
240	miR-103-2*	
241	miR-1280	
242	miR-379	
243	miR-453	
244	miR-944	
245	miR-4488	
246	miR-342	
247	miR-449c	
248	miR-193a-5p	
249	miR-680	
250	miR-203	
251	miR-506	
252	miR-1292	
253	miR-3065	
254	miR-593	
255	miR-155	
256	miR-642a	
257	miR-373	
258	miR-664	
259	miR-4271	
260	miR-135b*	
261	miR-181c-5p	
262	miR-25*	
263	miR-1273c	
264	miR-128	
265	miR-3162	
266	miR-662	
267	miR-622	
268	miR-22	
269	miR-24-1*	
270	miR-297	
271	miR-3188	
272	miR-1182	
273	miR-336	
274	miR-125	
275	miR-125a	
276	miR-134-3p	
277	miR-20b	
278	miR-199a-5p	
279	miR-411	
280	miR-126*	
281	miR-32	
282	miR-663	
283	miR-31	
284	miR-542-33a	
285	miR-548h2	
286	miR-184	
287	miR-30c-5p	
288	miR-577	
289	miR-126	
290	miR-7-5p	
291	miR-615	
292	miR-522	
293	miR-142-5p	
294	miR-505	
295	miR-150	
296	miR-139	
297	miR-21-5p	
298	miR-15b-5p	
299	miRNA-27a	
300	miR-4446	
301	miR-518f*	
302	miR-26b	
303	miR-493*	
304	miR-023b	
305	miR-135b-5p	
306	miR-216b	
307	miR-2355	
308	miR-141*	
309	miR-450a	
310	miR-661	
311	miR-322	
312	miR-302c	
313	miR-376a	
314	miR-338	
315	miR-3656	
316	miR-133a	
317	miR-509-3p	
318	miR-215	
319	miR-520a-5p	
320	miR-489	
321	miR-4706	
322	hsa-miRPlus-A1098	
323	miR-512	
324	miR-648	
325	miR-181b	
326	miR-194a	
327	miR-4319	
328	miR-33b-3p	
329	miR-671	
330	miR-142	
331	miR-106b*	
332	miR-365	
333	miR-1207-5p	
334	miR-768	
335	miR-24-3p	
336	let-7a2	
337	miR-769	
338	miR-96	
339	miR-Plus B1114	
340	miR-487a	
341	miR-377	
342	miR-323	
343	miR-3687	
344	let-7e*	
345	miR-302	
346	miR-665	
347	miR-33a	
348	miR-636	
349	miR-1202	
350	miR-3667	
351	miR-877*	
352	miR-26a	
353	miR-195	
354	miR-200c	
355	miR-3200	
356	miR-106	
357	miR-874	
358	miR-3195	
359	miR-1321	
360	miR-99b*	
361	miR-193b	
362	miR-518c-AS	
363	miR-3141	
364	miR-139-5p	
365	miR-34c	
366	let-7e	
367	miR-365-1	
368	miR-199a	
369	miR-500b	
370	miR-770-5p	
371	miR-3605	
372	miR-137	
373	let-7g*	
374	miR-1915	
375	miR-508	
376	miR-218-1*	
377	miR-409	
378	miR-450a2	
379	miR-557	
380	miR-19b-1*	
381	miR-4653	
382	miR-19b	
383	miR-1207-3p	
384	miR-222	
385	miR-3139	
386	miR-582	
387	miR-106a	
388	miR-217	
389	miR-107	
390	miR-188	
391	miR-1207	
392	miR-33b-5p	
393	miR-328	
394	miR-881*	
395	miR-574	
396	miR-424	
397	miR-21*	
398	miR-15b	
399	miR-433	
400	miR-642b	
401	miR-016b	
402	miR-4478	
403	miR-518c*	
404	miR-873	
405	miR-3653	
406	miR-449b	
407	miR-500a	
408	miR-1274a	
409	miR-204	
410	miR-141	
411	miRPlus-F1147	
412	miR-019b	
413	miR-122	
414	miR-340	
415	miR-1471	
416	miR-376c	
417	miR-635	
418	miR-518b	
419	miR-449b*	
420	miR-886	
421	miR-34b	
422	miR-200	
423	miR-34a	
424	miR-431*	
425	miR-766	
426	miR-4745	
427	miR-570	
428	miR-455	
429	miR-4487	
430	miR-450b	
